"pa","bclim11","bclim12","bclim14","bclim15","bclim18","bclim2","bclim3","bclim4","bclim6","bclim7","bclim8","bclim9"
0,-6.66466665267944,718,14,64.458610534668,80,13.2226667404175,41.6855812072754,684.351135253906,-12.6239995956421,31.7200012207031,-6.59200000762939,5.16599988937378
1,9.11666679382324,118,2,45.0210647583008,28,13.8210000991821,36.3213500976562,899.812072753906,2.07599997520447,38.0519981384277,11.1746664047241,23.8859996795654
1,-0.257333189249039,482,7,76.2193984985352,38,14.1983327865601,42.9004516601562,707.640808105469,-6.59999990463257,33.0960006713867,-0.257333189249039,16.6959991455078
1,5.67133331298828,249,5,44.3223686218262,79,14.125,40.5285224914551,793.99658203125,-0.851999998092651,34.8520011901855,6.53200006484985,16.7293338775635
1,7.03666639328003,364,3,84.7708587646484,13,15.5183334350586,45.0590400695801,706.428344726562,-0.159999996423721,34.439998626709,8.10999965667725,23.957332611084
1,7.1933331489563,212,5,34.4416084289551,43,17.4526672363281,43.7191047668457,847.508972167969,-0.939999997615814,39.9199981689453,8.67866706848145,20.267333984375
1,6.61933326721191,262,2,80.340217590332,13,15.9613332748413,45.1701736450195,736.8271484375,-0.671999990940094,35.3360023498535,6.61933326721191,21.8133335113525
0,8.36600017547607,323,1,84.76025390625,13,17.7690010070801,50.1212921142578,662.322998046875,0.836000025272369,35.4519996643066,9.42866706848145,24.076000213623
1,6.0886664390564,324,6,46.1655883789062,96,13.7810001373291,42.5287017822266,718.167053222656,-0.312000006437302,32.4039993286133,23.2000007629395,16.4693336486816
1,7.69199991226196,104,2,45.0560836791992,23,17.6196670532227,42.5595817565918,866.725158691406,-1.75999999046326,41.3999977111816,9.84133338928223,21.8493347167969
0,5.31199979782104,828,4,84.5110321044922,28,14.2746667861938,44.9341049194336,656.922607421875,-0.703999996185303,31.7679996490479,5.80399990081787,20.5713329315186
0,4.58133316040039,297,7,47.9969215393066,98,16.8213329315186,45.2380981445312,775.059997558594,-3.24399995803833,37.1839981079102,23.2800006866455,16.1986675262451
1,1.67133343219757,298,8,33.8604927062988,76,14.9139995574951,42.1585273742676,761.497314453125,-5.19199991226196,35.3759994506836,2.56866669654846,12.6266670227051
0,7.69000005722046,103,2,43.924976348877,23,18.1713333129883,43.5805206298828,854.070129394531,-2.01200008392334,41.6959991455078,9.760666847229,21.6333332061768
1,5.89400005340576,192,4,45.2875213623047,65,13.5993328094482,38.5032081604004,817.112365722656,-0.667999982833862,35.3199996948242,25.6700000762939,17.7826671600342
1,6.18200016021729,292,2,80.5870361328125,19,14.1110000610352,43.752326965332,694.520812988281,-0.0160000007599592,32.2519989013672,6.85733366012573,19.5886669158936
0,7.31266689300537,352,6,69.9100875854492,145,19.0410003662109,51.3179168701172,714.441101074219,-2.69600009918213,37.1040000915527,24.1773338317871,18.92799949646
1,6.23799991607666,224,6,32.6903419494629,46,17.3146667480469,43.565486907959,844.202819824219,-1.76399993896484,39.7439994812012,7.7960000038147,19.3933334350586
0,1.93799996376038,315,9,32.8276786804199,73,17.2600002288818,42.8755950927734,850.281921386719,-6.06799983978271,40.2560005187988,3.80266666412354,15.6593332290649
0,5.52600002288818,122,5,31.9099769592285,30,15.960000038147,42.3162574768066,803.857177734375,-2.2720000743866,37.7159996032715,6.95666694641113,17.7273330688477
1,6.08733320236206,439,2,88.9623947143555,21,14.4759998321533,43.419319152832,714.411376953125,-0.335999995470047,33.3399963378906,7.16133308410645,23.2779998779297
1,8.74933338165283,194,3,47.8968391418457,51,12.1383333206177,35.9888916015625,821.305725097656,3.25600004196167,33.7280006408691,10.1006669998169,21.4993324279785
0,6.61399984359741,1043,4,89.6782684326172,27,13.1770000457764,53.3222732543945,430.557983398438,0.995999991893768,24.7119998931885,6.62199974060059,15.8579998016357
0,13.953332901001,91,0,57.1744918823242,35,16.9990005493164,48.5963401794434,729.198669433594,4.90799999237061,34.9799995422363,28.7453346252441,24.7999992370605
0,8.6046667098999,347,2,91.7680969238281,14,15.28600025177,46.9356422424316,661.4736328125,1.70799994468689,32.568000793457,9.38399982452393,24.2986679077148
1,5.28666639328003,236,5,43.0486145019531,73,14.0950002670288,40.1795883178711,799.415344238281,-1.23599994182587,35.0800018310547,6.19799995422363,16.5066661834717
1,8.09266662597656,216,1,85.8395080566406,6,15.563666343689,44.5694923400879,717.352294921875,0.436000019311905,34.9199981689453,9.43266677856445,22.7439994812012
1,6.88800001144409,316,1,88.2793884277344,8,15.5123338699341,44.6064338684082,718.345458984375,-0.332000017166138,34.7760009765625,8.12866687774658,24.2199993133545
0,7.32600021362305,137,2,53.5828666687012,21,17.4863338470459,43.8517723083496,830.35205078125,-1.27999997138977,39.8759994506836,8.98866653442383,24.8040008544922
0,5.48866653442383,237,6,34.4548454284668,65,15.0690002441406,38.7656898498535,875.888061523438,-1.82000005245209,38.8720016479492,26.5606670379639,19.4720001220703
