,lon,lat
Xantusia vigilis,-117.795966,34.661667
Xantusia vigilis,-118.4779755,35.94541458
Xantusia vigilis,-113.88584,37.06553
Xantusia vigilis,-115.35926,36.035151
Xantusia vigilis,-118.243698,35.109579
Xantusia vigilis,-115.80239,35.38311
Xantusia vigilis,-116.998639,34.410917
Xantusia vigilis,-117.6426008,34.49939818
Xantusia vigilis,-117.4187577,34.50658154
Xantusia vigilis,-116.273858,35.980483
Xantusia vigilis,-114.6794577,35.16913054
Xantusia vigilis,-113.2167,34.5333
Xantusia vigilis,-115.057987,36.08179
Xantusia vigilis,-118.5071759,35.55501918
Xantusia vigilis,-116.018917,36.680558
Xantusia vigilis,-115.0625144,34.91913449
Xantusia vigilis,-118.45872,37.58833
Xantusia vigilis,-117.999817,35.0181
Xantusia vigilis,-116.4798708,34.70058875
Xantusia vigilis,-117.20532,34.62372
Xantusia vigilis,-121.185915,36.4363
Xantusia vigilis,-115.5629,35.341917
Xantusia vigilis,-118.2319668,35.58090251
Xantusia vigilis,-117.6446436,35.72372612
Xantusia vigilis,-116.35519,32.97617
Xantusia vigilis,-113.5565,36.9478
Xantusia vigilis,-115.9516074,36.07952927
Xantusia vigilis,-118.123899,35.73713335
Xantusia vigilis,-118.301,35.664467
Xantusia vigilis,-118.141347,35.412692
Xantusia vigilis,-117.773342,34.594273
Xantusia vigilis,-117.6459199,34.49898817
Xantusia vigilis,-117.828875,36.639958
Xantusia vigilis,-118.171622,34.888571
Xantusia vigilis,-116.4036,33.0372
Xantusia vigilis,-117.6681736,35.0064564
Xantusia vigilis,-115.71962,36.15259
Xantusia vigilis,-118.18349,34.48029
Xantusia vigilis,-114.79477,37.616058
Xantusia vigilis,-117.5594389,35.4640533
Xantusia vigilis,-115.551877,35.082733
Xantusia vigilis,-115.5755,34.92227
Xantusia vigilis,-118.170346,34.719932
Xantusia vigilis,-121.187698,36.514352
Xantusia vigilis,-118.4392185,35.66799781
Xantusia vigilis,-115.050974,36.100894
Xantusia vigilis,-115.9278281,36.20492641
Xantusia vigilis,-117.13875,34.48745
Xantusia vigilis,-119.4300442,34.82184272
Xantusia vigilis,-117.920278,34.704297
Xantusia vigilis,-118.8381645,35.64299354
Xantusia vigilis,-116.2252714,35.83930623
Xantusia vigilis,-117.632968,34.776488
Xantusia vigilis,-118.3959524,34.90974181
Xantusia vigilis,-114.93761,36.747142
Xantusia vigilis,-115.137778,36.512333
Xantusia vigilis,-115.5182755,35.54050651
Xantusia vigilis,-117.8365066,34.43580357
Xantusia vigilis,-114.3,35.45
Xantusia vigilis,-118.0723,34.31021
Xantusia vigilis,-118.2004534,35.05110746
Xantusia vigilis,-117.89,34.58
Xantusia vigilis,-119.4301692,34.82193672
Xantusia vigilis,-115.5061456,34.98247988
Xantusia vigilis,-115.287528,36.459444
Xantusia vigilis,-118.0297582,34.34501272
Xantusia vigilis,-115.79175,35.155933
Xantusia vigilis,-119.7148983,35.06367017
Xantusia vigilis,-115.122572,35.514687
Xantusia vigilis,-116.38619,33.13892
Xantusia vigilis,-117.1916344,34.89647064
Xantusia vigilis,-118.2108078,34.96916155
Xantusia vigilis,-118.207726,35.518943
Xantusia vigilis,-118.3062622,34.70233701
Xantusia vigilis,-115.269171,36.020176
Xantusia vigilis,-117.308539,34.39064847
Xantusia vigilis,-117.984742,35.333737
Xantusia vigilis,-118.242725,35.10963462
Xantusia vigilis,-117.1388131,34.89647101
Xantusia vigilis,-118.078955,34.572992
Xantusia vigilis,-118.1340335,34.04479236
Xantusia vigilis,-113.8138,35.0274
Xantusia vigilis,-117.8866813,34.57994728
Xantusia vigilis,-116.571173,34.828006
Xantusia vigilis,-115.25117,36.159158
Xantusia vigilis,-116.41359,33.13076
Xantusia vigilis,-117.9,34.6333
Xantusia vigilis,-118.3436482,34.62524984
Xantusia vigilis,-118.023017,34.530356
Xantusia vigilis,-118.1787407,35.22501605
Xantusia vigilis,-116.31,36.93472
Xantusia vigilis,-115.427104,36.138977
Xantusia vigilis,-116.3756138,34.74679022
Xantusia vigilis,-115.300583,36.814583
Xantusia vigilis,-115.473355,35.010991
Xantusia vigilis,-115.9944,36.6605
Xantusia vigilis,-116.965667,34.63
Xantusia vigilis,-115.461013,36.163295
Xantusia vigilis,-117.65005,35.010383
Xantusia vigilis,-117.9,36.6878
Xantusia vigilis,-117.720714,34.692102
Xantusia vigilis,-116.6092015,34.87524522
Xantusia vigilis,-114.831565,35.484395
Xantusia vigilis,-118.0739173,35.69039988
Xantusia vigilis,-115.643624,34.979734
Xantusia vigilis,-119.046136,34.78293055
Xantusia vigilis,-117.8132178,35.74703433
Xantusia vigilis,-117.8599,34.42112
Xantusia vigilis,-119.357583,34.837522
Xantusia vigilis,-114.0193,36.54232
Xantusia vigilis,-116.5497925,33.1527038
Xantusia vigilis,-117.7907926,35.40155325
Xantusia vigilis,-115.316101,35.521652
Xantusia vigilis,-113.7993351,32.22009525
Xantusia vigilis,-117.0713846,36.23114175
Xantusia vigilis,-117.648272,34.769696
Xantusia vigilis,-116.946167,34.387
Xantusia vigilis,-116.3422873,33.11100639
Xantusia vigilis,-118.164411,34.90300964
Xantusia vigilis,-115.999644,36.659242
Xantusia vigilis,-117.3330271,34.74384372
Xantusia vigilis,-115.50444,36.16361
Xantusia vigilis,-115.781854,34.556729
Xantusia vigilis,-113.957462,36.415744
Xantusia vigilis,-118.235775,35.432887
Xantusia vigilis,-121.193157,36.505329
Xantusia vigilis,-118.4226357,35.16099498
Xantusia vigilis,-115.2334937,37.53155118
Xantusia vigilis,-115.137194,36.513
Xantusia vigilis,-110.57433,37.90708
Xantusia vigilis,-118.8273882,35.45844433
Xantusia vigilis,-117.655727,34.799884
Xantusia vigilis,-114.91765,36.11499
Xantusia vigilis,-120.783625,36.662739
Xantusia vigilis,-115.449006,36.087634
Xantusia vigilis,-117.399733,34.51795
Xantusia vigilis,-118.0096098,35.6010396
Xantusia vigilis,-110.031131,37.599792
Xantusia vigilis,-117.5667,34.4167
Xantusia vigilis,-116.5177511,33.08311606
Xantusia vigilis,-115.2878027,35.21023545
Xantusia vigilis,-117.3129083,34.51036317
Xantusia vigilis,-115.275418,35.694961
Xantusia vigilis,-117.102667,34.435
Xantusia vigilis,-118.01879,34.52107
Xantusia vigilis,-117.750879,34.72147
Xantusia vigilis,-117.990664,34.772119
Xantusia vigilis,-117.6942,34.555874
Xantusia vigilis,-118.23043,34.701956
Xantusia vigilis,-117.7257111,34.34408986
Xantusia vigilis,-117.74178,34.549188
