"pa","bclim11","bclim12","bclim14","bclim15","bclim18","bclim2","bclim3","bclim4","bclim6","bclim7","bclim8","bclim9"
0,6.16599988937378,259,5,45.8801918029785,73,13.7639999389648,40.6737594604492,774.584228515625,-0.0439999997615814,33.8400001525879,7.05933332443237,17.2660007476807
0,8.06933307647705,427,1,88.2866744995117,14,18.9773330688477,51.9357795715332,638.64111328125,-0.0600000023841858,36.5400009155273,8.98999977111816,23.3726654052734
1,6.77533340454102,476,1,90.7527160644531,13,16.0063343048096,51.2104339599609,575.576721191406,-0.172000005841255,31.2560005187988,6.77533340454102,20.2573337554932
0,4.33066654205322,717,12,58.7504653930664,261,12.6556663513184,43.5801200866699,632.152954101562,-1.88800001144409,29.0400009155273,19.2406673431396,13.6820001602173
0,7.69000005722046,103,2,43.924976348877,23,18.1713333129883,43.5805206298828,854.070129394531,-2.01200008392334,41.6959991455078,9.760666847229,21.6333332061768
0,-0.466666549444199,200,10,24.0553417205811,55,16.7556667327881,42.4495010375977,823.582885742188,-8.38399982452393,39.4720001220703,19.2186660766602,12.1560001373291
1,11.1999998092651,435,1,94.1382446289062,14,13.7130002975464,50.9701156616211,492.179595947266,4.7480001449585,26.9039993286133,11.4946670532227,22.4293327331543
1,6.10533332824707,170,4,37.0676498413086,45,15.3299999237061,41.2895927429199,815.777648925781,-1.14400005340576,37.128002166748,7.46799993515015,18.5473327636719
0,12.4626665115356,125,1,48.9056053161621,27,14.235333442688,38.0339126586914,891.958923339844,5.38400030136108,37.4280014038086,14.4540004730225,27.017333984375
1,7.66400003433228,149,1,78.5239334106445,7,17.720666885376,46.1812438964844,746.353088378906,-1.40400004386902,38.371997833252,7.66400003433228,23.2800006866455
1,8.42000007629395,83,1,51.7904090881348,12,18.0033340454102,44.4482841491699,814.282958984375,-0.907999992370605,40.5040016174316,10.3166666030884,25.6919994354248
1,8.1560001373291,96,1,56.2581825256348,11,17.5083332061768,45.7614555358887,751.991577148438,-0.61599999666214,38.2600021362305,8.1560001373291,23.9326667785645
0,0.268666744232178,254,8,34.5091094970703,69,14.8430004119873,37.4596214294434,904.131042480469,-7.33200025558472,39.6240005493164,22.1446666717529,14.6333332061768
1,1.42466652393341,244,9,53.9417495727539,32,16.656665802002,45.8204956054688,742.175659179688,-6.39200019836426,36.3519973754883,1.42466652393341,16.232666015625
1,8.85533332824707,91,1,70.6855316162109,8,16.2256660461426,42.2543411254883,807.72802734375,0.448000013828278,38.3999977111816,8.85533332824707,26.0226669311523
1,-1.5073333978653,513,8,71.8662948608398,47,14.0936670303345,42.507137298584,712.477600097656,-7.68400001525879,33.1559982299805,-1.5073333978653,12.3593330383301
1,5.10799980163574,287,3,75.0143203735352,19,15.0030002593994,44.1524429321289,728.671569824219,-1.48000001907349,33.9799995422363,6.09866666793823,19.8593330383301
1,8.07933330535889,155,1,76.8106918334961,9,15.5469999313354,42.3901176452637,777.828002929688,0.00400000018998981,36.6759986877441,9.57866668701172,24.2999992370605
1,10.0159997940063,164,2,50.5510597229004,42,13.3593330383301,37.6828765869141,842.671142578125,3.89599990844727,35.4519996643066,11.5633335113525,23.3213329315186
1,7.5493335723877,165,1,80.2245407104492,8,17.6506652832031,46.3710250854492,736.930480957031,-1.43599998950958,38.0639991760254,7.5493335723877,22.9433326721191
0,-7.64666652679443,562,29,23.6327457427979,185,12.1859998703003,36.5025177001953,760.83349609375,-14.1759996414185,33.3839988708496,10.6626663208008,2.1746666431427
1,8.06066703796387,214,1,85.7913436889648,7,15.7486667633057,44.3724403381348,729.522033691406,0.144000008702278,35.492000579834,9.4640007019043,23.042667388916
0,6.2093334197998,534,8,43.1545295715332,172,17.0076675415039,45.8427658081055,760.239685058594,-1.94799995422363,37.0999984741211,7.34600019454956,17.3573322296143
0,5.81866693496704,349,1,58.9280624389648,58,15.9983329772949,51.1979446411133,580.239318847656,-1.00399994850159,31.2479991912842,6.43133306503296,13.4000005722046
1,9.56666660308838,126,1,50.2271881103516,36,15.9736661911011,40.995964050293,873.833435058594,1.56400001049042,38.9640007019043,30.5773334503174,23.1553325653076
0,8.84466648101807,197,3,49.4191436767578,53,13.421667098999,38.4178695678711,825.993103027344,2.74399995803833,34.9360008239746,10.2200002670288,21.7019996643066
1,7.28266668319702,143,1,75.1666412353516,8,17.0446662902832,44.8213577270508,765.140075683594,-1.2039999961853,38.0279998779297,7.91333341598511,23.2693328857422
0,10.6240005493164,574,1,94.6051483154297,14,12.5093336105347,62.2354888916016,275.629058837891,4.37200021743774,20.1000003814697,10.8666667938232,16.5986671447754
1,7.96066665649414,160,1,76.7345733642578,9,15.4056663513184,42.7175750732422,767.83349609375,0.148000001907349,36.0640029907227,9.36666679382324,23.9486675262451
0,-1.48266673088074,367,16,20.9353675842285,85,13.8556671142578,38.7722930908203,802.24462890625,-8.15200042724609,35.7360000610352,1.98466658592224,15.0826663970947
0,0.601999998092651,892,10,77.2390365600586,47,14.0666666030884,46.3084907531738,583.827941894531,-6.32399988174438,30.3759994506836,0.601999998092651,13.7213335037231
1,6.08733320236206,439,2,88.9623947143555,21,14.4759998321533,43.419319152832,714.411376953125,-0.335999995470047,33.3399963378906,7.16133308410645,23.2779998779297
1,8.67866706848145,122,3,38.9102020263672,31,14.3043336868286,38.4814720153809,852.077697753906,1.59600007534027,37.1720008850098,10.4160003662109,22.3706665039062
1,7.66466665267944,133,1,78.3098983764648,7,17.2766666412354,44.6333198547363,767.547180175781,-1.58399999141693,38.7080001831055,7.66466665267944,23.7733345031738
