"","lon","lat"
"1",-118.42197135308,35.7799721131626
"2",-118.606561928809,34.7826267133798
"5",-120.656439,36.515528
"6",-113.481833,34.474167
"8",-118.890195,34.877141
"9",-117.19337,34.4966199991189
"10",-113.4,34.6
"12",-115.453339,36.059137
"14",-114.824476006254,35.6528473782979
"15",-118.189248141685,35.889868058688
"16",-117.7132,34.4911
"17",-117.906380947715,35.8353714567991
"18",-118.20454,37.18681
"19",-118.17,34.7199
"20",-114.03975,32.28325
"21",-117.619276,34.664107
"22",-118.191222700918,37.0904485398548
"24",-115.45852,36.2791399990997
"25",-114.066958944158,36.7619761230519
"26",-114.035,34.423333
"27",-118.13584,34.6987599991166
"28",-119.970703,35.165389
"29",-116.273325,36.401353
"30",-114.16966,35.45244
"31",-115.118992,35.514838
"32",-115.343042,36.152271
"33",-113.65,35.4333
"34",-115.1285,36.144416
"35",-118.141054648098,34.6309981116515
"36",-117.430736261147,34.6342579923777
"37",-113.808007,35.1847
"38",-118.469,34.904333
"39",-118.161693,34.677522
"41",-115.527161689583,35.5404154537314
"42",-114.7,35.066
"44",-118.894583516614,34.8759391429273
"45",-116.017167,36.651353
"46",-115.973067,36.202752
"47",-117.063645345779,34.3965789850689
"48",-115.72449411245,34.8145988223332
"49",-118.7333,35.4333
"50",-110.605167,37.838167
"51",-117.157771416003,34.4849059279025
"52",-117.8942,35.7108
"53",-118.858659644102,35.6139261261697
"54",-117.187073,34.052116
"55",-118.413416818815,34.9093596972972
"57",-116.029017,35.256367
"58",-117.252152123295,34.3367593327092
"59",-118.60206,37.4876
"61",-118.353107,34.638018
"62",-117.515632083766,34.912804947983
"63",-116.049027127408,36.5884625179763
"64",-115.501344,36.4507
"65",-115.184288,34.608463
"66",-113.7833,34.45
"67",-115.65905,35.426733
"69",-117.396119,33.953297
"70",-118.23677164093,35.5579910622789
"71",-117.959445,34.868475
"72",-117.195936,34.422897
"73",-117.813111281695,34.454535218204
"74",-118.56883799381,34.7760491596647
"75",-117.542010152832,34.3686984559166
"76",-119.713312221933,35.0640531680825
"78",-115.42239,35.1708499991113
"79",-120.029335587948,35.0815563724501
"80",-118.45511,33.4004499991325
"81",-118.607949956211,34.7822017149063
"84",-118.160884,35.484688
"85",-113.7909,34.9935
"86",-118.543452077876,35.6799747482662
"87",-115.107439,36.067069
"88",-118.106828,34.783015
"89",-118.240876740299,35.465484395409
"90",-118.79594887282,34.7447283807217
"91",-118.217308,35.380257
"92",-117.435518513821,34.6481995829385
"93",-115.300859,36.203887
"97",-118.072204,36.153648
"98",-116.440588240492,32.9700099265834
"99",-117.298255221962,34.4396051960459
"100",-118.200958897142,35.6586667671024
"101",-115.148886239068,35.4990350443677
"102",-121.185853420462,36.4469418353476
"103",-114.911525,35.962189
"104",-115.339955,35.786377
"106",-116.9986,34.4111
"107",-117.294304,35.010789
"108",-118.28383095266,35.1107092936684
"109",-115.548796033135,34.9238501246126
"110",-114.048006,36.539549
"111",-115.910068412484,36.2714249486918
"112",-117.042,34.4291
"113",-114.6711,35.207
"114",-116.984134,34.558548
"115",-118.535112550924,37.325051705482
"116",-115.144733,36.108271
"117",-118.241687,35.067273
"118",-114.830815586833,35.5957787540025
"120",-117.209600061296,34.4292330899839
"121",-117.978964,34.579894
"122",-118.497249474473,35.6310963215264
"123",-118.150499623085,34.6074766833143
"124",-115.659256,34.783637
"125",-117.204383696376,34.7026607196893
"126",-118.234814348115,35.4420520399251
"127",-118.44248849488,34.4291944973899
"128",-118.174615813523,35.0524126065967
"129",-109.93048,37.4321999990891
"130",-118.188014,35.556858
"131",-115.61852,34.81352
"132",-115.502989,36.114956
"133",-120.838567,36.554833
"134",-118.602013,34.876205
"135",-115.344417,36.033473
"136",-117.227333,34.398667
"137",-116.191219,36.688487
"138",-117.587664,36.560939
"139",-117.521333,34.336
"140",-116.53615,33.0750399991367
"141",-117.321078,34.366029
"143",-118.273805651534,35.1041375379588
"144",-115.84729,35.77165
"147",-116.688211905433,34.8269859567438
"148",-115.623114,36.373779
"149",-118.622177445788,35.4543179294199
"151",-114.818947,35.184731
"152",-118.12879,35.11435
"153",-117.867959,35.328538
"154",-115.207306,36.436833
"155",-116.922281464067,36.7230482069639
"156",-117.334669152722,34.7445756926798
"157",-117.992722,35.374181
"159",-118.173706,34.773371
"160",-116.644781266952,34.8645352592479
"162",-118.433917435359,35.3932508623051
"165",-114.083161,35.20218
