bclim1,bclim10,bclim11,bclim12,bclim13,bclim14,bclim15,bclim16,bclim17,bclim18,bclim19,bclim2,bclim3,bclim4,bclim5,bclim6,bclim7,bclim8,bclim9
17.27933311,27.90600014,7.470666409,142,19,4,36.67433548,48,18,38,43,15.08400059,40.23687744,836.2902222,37.67599869,0.187999994,37.48799896,9.043333054,20.61466599
14.62650013,24.61466599,5.357333183,284,49,7,46.9715004,108,30,90,77,15.69966698,43.15940857,792.602356,34.35200119,-2.023999929,36.37599945,24.42466736,17.32933235
20.12366676,31.54266739,9.482666969,116,16,2,42.3686142,44,13,29,38,14.29666615,37.03799438,899.72052,40.73600006,2.135999918,38.59999847,11.53333282,24.25466728
16.6483326,25.98999977,8.024000168,197,39,1,86.15774536,108,6,6,105,16.07999992,44.26825333,741.9702759,36.05199814,-0.272000015,36.3239975,9.552000046,23.41799927
16.55083275,25.83866692,7.883333206,98,16,1,61.15345001,46,7,10,45,18.13433266,46.99474716,739.0877686,37.38800049,-1.200000048,38.58800125,8.478666306,23.36933327
15.01016617,24.87599945,5.947999954,293,48,6,46.71746826,106,28,87,84,15.12833309,42.79343033,779.2390747,34.14400101,-1.208000064,35.35200119,24.5126667,17.88000107
15.56299973,24.76066589,7.451333523,299,58,2,88.04099274,165,9,14,160,15.01200008,44.36694717,718.3669434,34.36399841,0.527999997,33.83599854,8.375332832,24.56200027
16.74500084,26.03266716,8.156000137,189,37,1,84.81834412,103,6,6,100,15.76066685,43.75046158,736.9125977,35.81200027,-0.212000012,36.02400208,9.746666908,23.52266693
17.57133293,28.49266624,7.378666878,158,23,3,44.52538681,57,16,43,51,14.90933323,39.34276199,863.5296631,38.15200043,0.256000012,37.89599991,9.104000092,21.04400063
15.38199997,25.67000008,5.894000053,192,31,4,45.28752136,65,20,65,59,13.59933281,38.50320816,817.1123657,34.65200043,-0.667999983,35.31999969,25.67000008,17.78266716
22.60433388,33.61999893,12.22866631,124,18,1,49.10331345,49,10,28,41,14.60866737,38.77857971,877.100769,42.76800156,5.095999718,37.67200089,14.100667,26.31333351
16.81966591,27.62199974,6.725999832,119,16,4,30.86908722,37,18,32,33,16.9046669,42.36758804,853.7952881,38.30799866,-1.592000008,39.89999771,26.99199867,20.52599907
13.83666706,22.18799973,6.829333305,368,65,1,87.41394806,186,6,10,180,14.28199959,46.02346039,641.3600464,31.62400055,0.592000008,31.0320015,7.348666668,21.86066628
15.03216648,25.71933365,5.184666634,150,22,3,47.84936905,56,17,40,56,17.62033272,43.45977783,840.2174683,36.97600174,-3.568000078,40.54400253,5.184666634,18.44133377
17.13316727,27.79800034,7.050666809,124,18,3,40.92743683,48,17,27,45,17.6143322,43.2402153,847.2884521,38.51599884,-2.220000029,40.73600006,9.045332909,20.76533318
13.95816708,23.3686676,5.414000034,576,103,2,81.79483032,301,21,21,290,16.173666,45.3094635,740.1203613,34.04000092,-1.656000018,35.69599915,6.640666485,23.3686676
15.44133377,25.17733383,6.855333328,296,40,3,47.17441177,110,30,80,108,13.05799961,39.76732635,761.3944702,33.63600159,0.800000012,32.83600235,7.517333508,17.29466629
15.67749977,23.951334,8.220000267,370,69,1,81.18882751,190,9,16,173,16.43233299,48.70859909,658.472229,34.58000183,0.843999982,33.73600006,8.984666824,23.8813343
12.2923336,24.6079998,0.400666803,186,23,7,30.52262115,66,33,50,37,14.99533272,35.74743271,978.4870605,34.77999878,-7.167999744,41.94799805,19.12733269,16.93933296
16.23200035,25.37333298,7.676000118,203,36,1,69.52685547,102,12,14,96,17.80666733,47.33801651,731.8018188,36.80799866,-0.807999969,37.61599731,9.102000237,22.80133438
16.59933281,26.45933342,7.478666306,157,29,2,70.84165955,79,9,15,76,15.8706665,42.87052155,781.9680176,36.75999832,-0.25999999,37.01999664,9.056666374,23.92399979
17.09799957,25.98399925,8.877333641,309,57,1,80.49623871,161,7,7,145,17.34133339,47.54697418,712.0725708,37.43600082,0.963999987,36.47200012,10.06733322,25.98399925
17.94300079,24.85599899,11.85866642,329,70,2,92.66271973,203,11,19,177,16.32133293,52.61551666,533.6043091,34.90399933,3.884000063,31.01999855,12.59799957,24.48200035
16.57533264,25.88333321,8.118666649,275,56,2,89.24041748,157,8,8,150,15.62599945,44.54389954,739.565979,35.67599869,0.596000016,35.07999802,9.276000023,25.88333321
14.73983383,23.08866692,7.623333454,511,91,3,78.03881836,269,27,47,248,16.68300056,49.79405594,638.0344849,33.54399872,0.039999999,33.5039978,8.225999832,19.76200104
21.48800087,32.65133286,10.60200024,78,12,1,48.741745,30,6,21,28,17.6779995,42.25547409,908.2694092,43.2159996,1.379999995,41.83599854,12.66333294,25.01799965
15.45750046,24.18133354,7.426000118,278,51,1,78.92368317,146,12,22,140,17.12766647,47.96053696,692.8901978,35.20800018,-0.504000008,35.7120018,8.611999512,24.10933304
11.77600002,21.71133232,2.852666855,273,50,8,66.18883514,135,25,25,135,17.82933235,46.02781296,777.3148804,33.08399963,-5.65199995,38.73600006,2.852666855,21.71133232
16.92433357,26.92399979,7.798666477,239,36,4,47.56729889,86,21,66,76,11.9173336,36.6551857,789.2069702,34.95999908,2.447999954,32.51200104,8.85866642,19.58399963
14.74766636,23.63533211,7.095333576,360,76,2,93.53321838,208,8,13,202,12.94333363,42.01289749,683.8505859,32.01599884,1.207999945,30.80799866,7.955333233,23.30999947
16.58799934,26.43533325,7.501333237,110,19,1,66.02674866,52,6,10,52,16.94533348,44.27606201,778.7064819,37.35599899,-0.916000009,38.27199936,7.501333237,23.85533333
15.67683315,26.43133354,5.757333755,140,21,3,49.62716675,55,15,37,55,17.7076664,43.38838196,845.3908081,37.66799927,-3.144000053,40.81200027,5.757333755,19.17066765
13.86200047,24.20999908,4.343333244,181,24,5,35.11798477,57,25,49,56,16.17733383,42.45573425,814.5462036,34.86800003,-3.236000061,38.10400009,5.818666935,16.97533417
18.49399948,28.58799934,9.248666763,199,33,2,48.83043289,70,16,55,64,13.10466671,38.58853531,801.2601929,36.9679985,3.007999897,33.95999908,28.41533279,21.21800041
19.98983383,30.3346653,10.43599987,259,40,3,47.25814819,90,19,68,82,15.57899952,42.53767776,824.1811523,39.60400009,2.980000019,36.62400055,30.09666634,22.98799896
16.48583412,26.91533279,6.78666687,182,29,4,44.66969299,61,19,60,58,15.47833347,41.58159637,832.5498047,36.70000076,-0.523999989,37.22399902,8.117333412,19.06200027
15.76883316,26.43333435,5.992666721,234,30,6,31.85196495,81,34,48,68,17.36700058,43.74559021,840.7826538,37.70000076,-2,39.70000076,7.486666679,18.96733284
18.32016754,24.7246666,12.75666618,335,71,2,94.49398041,204,8,15,185,15.59166622,53.24295425,489.1756287,34.29199982,5.007999897,29.2840004,13.4046669,24.2159996
15.07699966,24.38933372,6.619333267,262,48,2,80.34021759,135,12,13,135,15.96133327,45.17017365,736.8271484,34.66400146,-0.671999991,35.33600235,6.619333267,21.81333351
16.95849991,26.87800026,7.78133297,121,23,1,75.43499756,60,5,7,60,16.64633369,43.40408325,783.9312134,37.42399979,-0.927999973,38.35200119,7.78133297,24.28533363
15.91849995,24.9659996,7.457999706,223,40,1,74.04521942,115,12,13,108,17.63566589,47.34661484,724.2612305,36.33200073,-0.916000009,37.2480011,8.856666565,22.39733315
13.90316677,23.0126667,5.726666451,501,98,2,90.23918915,274,11,23,271,14.35833359,43.2740593,718.7086792,32.64400101,-0.536000013,33.18000031,6.755333424,23.01200104
15.43966675,24.63800049,7.315333366,359,74,1,93.67835999,210,7,12,198,14.30533314,43.06241226,718.3990479,33.84799957,0.628000021,33.22000122,8.407999992,24.47333336
12.84333324,21.59466743,5.086666584,660,124,2,87.63407135,357,15,32,342,14.51066685,45.00268555,683.932373,31.20800018,-1.036000013,32.24399948,5.967333317,21.48133278
14.34683323,22.0613327,7.68599987,467,88,1,89.61963654,254,5,13,243,17.71299934,51.78028488,600.6275635,34.02000046,-0.188000008,34.20800018,8.410666466,21.95733261
