-116.4602,33.0042,1
-116.4036,33.0372,2
-116.9986,34.4111,3
-117.008,34.4144,4
-117.0204,34.401,5
-117.0336,34.4216,6
-117.042,34.4291,7
-117.0558,34.4489,8
-116.9756,34.5643,9
-117.1317,34.7326,10
-117.3,34.4333,11
-117.7132,34.4911,12
-117.5667,34.4167,13
-117.7132,34.4911,14
-117.9,34.6333,15
-117.9833,34.5167,16
-118.1333,34.6,17
-118.3779,34.7847,18
-118.3779,34.8725,19
-118.1667,35.05,20
-118.1667,35.23333,21
-117.9833,35.3667,22
-118.7333,35.4333,23
-118.5833,35.5667,24
-118.5605,35.5781,25
-118.5,35.6167,26
-118.4663,35.7031,27
-118.5,35.9167,28
-118.1333,36.0167,29
-118.1667,35.9333,30
-118.1945,35.5614,31
-118.2402,35.4656,32
-118.1704,35.7208,33
-119.0333,34.8,34
-117.9412,35.6062,35
-117.9108,35.7108,36
-117.8942,35.7108,37
-118.0054,35.651,38
-118.5333,37.3333,39
-118.214,37.4028,40
-120.5967,36.4855,41
-120.7823,36.658,42
-117.0026,35.0014,43
-116.0594,35.8841,44
-115.7939,35.4082,45
-115.5667,35.2833,46
-115.6479,34.8199,47
-115.1826,34.6154,48
-115.0399,34.9124,49
-115.333,35.7833,50
-114.85,36.7833,51
-114.8667,37.55,52
-113.8833,37.0667,53
-110.6167,37.8833,54
-110.6372,37.4835,55
-113.5565,36.9478,56
-113.9292,36.6247,57
-114.1,35.85,58
-114.25,35.5833,59
-114.3,35.45,60
-114.1833,35.4667,61
-114.15,35.45,62
-113.65,35.3833,63
-113.65,35.4333,64
-114.3333,35.0333,65
-114.1167,35.1333,66
-113.8167,35.05,67
-113.8138,35.0274,68
-113.7909,34.9935,69
-113.5333,35.1667,70
-113.9,34.6833,71
-113.6833,34.6833,72
-113.7833,34.45,73
-113.4833,34.4833,74
-113.3333,34.4667,75
-113.3447,34.4766,76
-113.4,34.6,77
-113.2167,34.5333,78
-113.15,34.6,79
-113.1233,34.6243,80
-113.3833,33.8167,81
-114.0333,33.4167,82
-114.1667,33.0333,83
-113.8095,32.2245,84
